name,location,node_type
Schlangenredder,POINT(10.320013 53.928715),['Station']
Dr. Lindrath-Straße,POINT(10.195035 53.948991),['Station']
Schwimmhalle,POINT(10.205161 53.957839),['Station']
Neddernhof 50,POINT(9.777588 53.282992),['Station']
Ort,POINT(9.780052 53.275059),['Station']
B3 Abzweigung Neddernhof,POINT(9.793141 53.286483),['Station']
Kronsheider Straße,POINT(10.200901 53.950119),['Station']
Marinesiedlung,POINT(10.204999 53.954346),['Station']
B3 Auf der Horst,POINT(9.795799 53.296386),['Station']
Waldheim,POINT(9.793596 53.28755),['Station']
Am Stadion,POINT(10.376655 53.814145),['Station']
B 208,POINT(10.4955 53.76436),['Station']
Altfresenburg,POINT(10.36165 53.823364),['Station']
Erbstorfer Landstraße,POINT(10.477765 53.274003),['Station']
Wendeplatz,POINT(10.476545 53.273838),['Station']
Alte Schule,POINT(10.545311 53.90765),['Station']
Abzw. Krumbeck,POINT(10.54861 53.905092),['Station']
Feuerwache,POINT(10.381703 53.811571),['Station']
Finkenweg,POINT(10.365979 53.799135),['Station']
Lindenkamp,POINT(10.356816 53.801629),['Station']
Anne-Frank-Straße,POINT(10.383272 53.799296),['Station']
Klaus-Groth-Schule,POINT(10.380539 53.816337),['Station']
Krankenhaus,POINT(10.364151 53.811547),['Station']
Schule am Kurpark,POINT(10.376558 53.80144),['Station']
Ulmenkamp,POINT(10.360943 53.800172),['Station']
Schützenstraße,POINT(10.365507 53.809815),['Station']
Meisenweg,POINT(10.370394 53.800001),['Station']
Bei der Mennokate,POINT(10.374746 53.816566),['Station']
Moordamm,POINT(10.368907 53.802346),['Station']
Pahleck,POINT(10.400255 53.803826),['Station']
Poggenbreeden,POINT(10.385707 53.816979),['Station']
Sandkamp,POINT(10.342139 53.799261),['Station']
Schanzenbarg 2,POINT(10.399126 53.809095),['Station']
Schanzenbarg 20,POINT(10.40159 53.808348),['Station']
Schanzenbarg 33,POINT(10.400488 53.807624),['Station']
Ölmühle,POINT(10.384191 53.794479),['Station']
Travebad,POINT(10.368621 53.811748),['Station']
Stettiner Straße,POINT(10.3806 53.817298),['Station']
Timm-Kröger-Weg,POINT(10.360169 53.806722),['Station']
Am Tegel,POINT(10.402302 53.804664),['Station']
Heimstraße,POINT(10.360486 53.811346),['Station']
Gemeinschaftshaus,POINT(10.574027 53.868019),['Station']
Dorfstraße,POINT(10.582981 53.869609),['Station']
Mitteltor,POINT(10.574058 53.865197),['Station']
Zur Wüstenei,POINT(10.59116 53.871989),['Station']
Schulweg,POINT(10.292275 53.819334),['Station']
Kindergarten,POINT(10.376632 53.744885),['Station']
Westerauer Straße,POINT(10.500537 53.806071),['Station']
"Barnitz, Benstaben (Mitte)",POINT(10.457874 53.815979),['Station']
Blumendorf,POINT(10.328889 53.795922),['Station']
Bolande,POINT(10.465214 53.833546),['Station']
Abzweigung Ratzbek,POINT(10.556921 53.836856),['Station']
Bahnbrücke,POINT(10.546723 53.834679),['Station']
Siedlung,POINT(10.310555 53.816817),['Station']
Schulstraße,POINT(10.261203 53.762608),['Station']
Abzweigung Fliegenfelde,POINT(10.541201 53.859271),['Station']
Zur Düpenau,POINT(10.407896 53.79582),['Station']
Gut,POINT(10.530665 53.791745),['Station']
Markt,POINT(10.742112 53.186973),['Station']
Gymnasium,POINT(10.725275 53.203601),['Station']
Basedower Weg,POINT(10.580799 53.42082),['Station']
Feuerwehrhaus,POINT(10.453064 53.752438),['Station']
Schulendorf,POINT(10.561582 53.473534),['Station']
Drosselstraße 7,POINT(10.72704 53.201733),['Station']
Waldstraße,POINT(10.421108 53.495327),['Station']
Königsallee (Nord),POINT(10.412978 53.515938),['Station']
Bf. Büchen (Lauenburger Straße),POINT(10.622184 53.474946),['Station']
Möllner Straße,POINT(10.617732 53.480631),['Station']
Büchener Straße,POINT(10.616206 53.483707),['Station']
Schulzentrum,POINT(10.614708 53.479558),['Station']
Sportplatz,POINT(10.614859 53.488299),['Station']
Abzweigung,POINT(10.736681 53.733466),['Station']
Am Schmidtsteich,POINT(10.441202 53.736766),['Station']
Dorfstraße,POINT(10.60645 53.440004),['Station']
Am Riesenbett,POINT(10.365647 53.506855),['Station']
Berodtskamp,POINT(10.358324 53.503623),['Station']
Bornweg,POINT(10.363469 53.493959),['Station']
Feuerwehr,POINT(10.53103 53.569882),['Station']
Linnenkamp,POINT(10.627559 53.221511),['Station']
Robert-Koch-Straße,POINT(10.451856 53.284494),['Station']
Oldesloer Straße,POINT(10.438667 53.733526),['Station']
U Emilienstraße,POINT(9.952624 53.571514),['Station']
Ortsmitte,POINT(10.260952 53.099844),['Station']
Siedlung,POINT(10.27694 53.102792),['Station']
Diersbüttel 15,POINT(10.258014 53.100477),['Station']
Karnapp,POINT(9.983107 53.463684),['Station']
Soldbarg,POINT(10.066635 53.151672),['Station']
Neuer Fährweg,POINT(9.790892 53.53031),['Station']
Beim Avenberg,POINT(10.082554 53.471109),['Station']
Halskestraße (West),POINT(10.074302 53.52595),['Station']
Halskestraße (Mitte),POINT(10.081796 53.521767),['Station']
Andreas-Meyer-Straße (Mitte),POINT(10.078295 53.518088),['Station']
Andreas-Meyer-Straße (Ost),POINT(10.081634 53.516018),['Station']
Moorfleet,POINT(10.088042 53.511925),['Station']
Billwerder Bucht,POINT(10.067579 53.523045),['Station']
Moorfleeter Deich,POINT(10.069462 53.518167),['Station']
Sandwisch,POINT(10.074168 53.515268),['Station']
Moorfleeter Hauptdeich,POINT(10.079217 53.500998),['Station']
Tatenberger Schleuse,POINT(10.077929 53.497766),['Station']
Tatenberger Damm,POINT(10.067776 53.49252),['Station']
Spadenländer Ecke,POINT(10.065125 53.491348),['Station']
Beim Bieberhof,POINT(10.072161 53.485355),['Station']
Fasanengrund,POINT(10.076006 53.480136),['Station']
Schwersweg,POINT(10.077581 53.477516),['Station']
Hofschläger Deich,POINT(10.054586 53.486221),['Station']
Elversweg,POINT(10.079427 53.473662),['Station']
Ochsenwerder Kirche,POINT(10.084518 53.476635),['Station']
Eichholzfelder Deich,POINT(10.091169 53.479315),['Station']
Ochsenwerder Mühlenweg,POINT(10.098932 53.47839),['Station']
Reitdeich,POINT(10.101937 53.475173),['Station']
Goseburg,POINT(10.104375 53.471646),['Station']
Ochsenwerder Norderdeich 220,POINT(10.113086 53.465536),['Station']
Oortkatenweg (Nord),POINT(10.120234 53.464202),['Station']
Gauert,POINT(10.088422 53.463813),['Station']
Oortkatenweg,POINT(10.105699 53.456538),['Station']
Hohendeicher See (Nord),POINT(10.09972 53.449441),['Station']
Ochsenwerder Elbdeich,POINT(10.107836 53.44667),['Station']
Siedlung Fünfhausen,POINT(10.116343 53.450796),['Station']
Hohedeich (Feuerwehr),POINT(10.111422 53.44164),['Station']
Hohedeich,POINT(10.117164 53.440769),['Station']
Durchdeich (Süd),POINT(10.121585 53.441222),['Station']
Schule Ochsenwerder,POINT(10.074599 53.471567),['Station']
Dorferbogen,POINT(10.067193 53.468102),['Station']
Gauerter Hauptdeich 35,POINT(10.066754 53.463227),['Station']
Gauerter Hauptdeich 77,POINT(10.069978 53.460269),['Station']
Ochsenwerder Elbdeich 3,POINT(10.075342 53.45748),['Station']
Oortkaten,POINT(10.090422 53.44905),['Station']
Overhaken,POINT(10.106977 53.436785),['Station']
Overwerder,POINT(10.113407 53.430623),['Station']
Spadenländer Elbdeich,POINT(10.062963 53.477206),['Station']
Homannring,POINT(10.124056 53.447605),['Station']
Andreas-Meyer-Straße (West),POINT(10.071882 53.522063),['Station']
Nagelstegel,POINT(10.080413 53.456176),['Station']
Oortkatenufer,POINT(10.101239 53.440675),['Station']
Moorfleeter Kirchenweg,POINT(10.080181 53.513399),['Station']
Moorfleet (Feuerwehr),POINT(10.086659 53.512064),['Station']
Moorfleet (Châu-und-Lân-Straße),POINT(10.088719 53.512458),['Station']
Hein-Baxmann-Stieg,POINT(10.083667 53.512972),['Station']
Kneidenweg,POINT(10.072429 53.500754),['Station']
Moorfleeter Brückenstraße,POINT(10.081178 53.501079),['Station']
Moorfleeter Deich 344,POINT(10.091393 53.495676),['Station']
Ochsenwerder Norderdeich 194,POINT(10.109123 53.467747),['Station']
S Stellingen (Bus-Shuttle),POINT(9.915208 53.589948),['Station']
Billbrookdeich 210,POINT(10.104993 53.534764),['Station']
Billstieg,POINT(10.108459 53.534103),['Station']
Schule Billbrookdeich,POINT(10.111022 53.532902),['Station']
Rote Brücke,POINT(10.108784 53.530353),['Station']
Billwerder Billdeich (West),POINT(10.112282 53.523419),['Station']
Maler- und Lackierer-Museum,POINT(10.118775 53.52149),['Station']
Glockenhausbrücke,POINT(10.123746 53.517319),['Station']
Billwerder Kirche,POINT(10.127723 53.51437),['Station']
Billwerder Billdeich 174,POINT(10.129382 53.509844),['Station']
Billwerder (Feuerwehr),POINT(10.135662 53.504563),['Station']
Mittlerer Landweg (Nord),POINT(10.139613 53.502405),['Station']
Schule Mittlerer Landweg,POINT(10.134268 53.499212),['Station']
Rungedamm (Nord),POINT(10.105845 53.499775),['Station']
S Mittlerer Landweg,POINT(10.131943 53.497347),['Station']
Rungedamm (Ost),POINT(10.127006 53.49362),['Station']
Am Gleisdreieck,POINT(10.129182 53.495531),['Station']
Mittlerer Landweg (Süd),POINT(10.119075 53.488833),['Station']
Moorfleeter Deich (Ost),POINT(10.116109 53.484889),['Station']
Pumpwerk Allermöhe,POINT(10.11799 53.481943),['Station']
Allermöher Deich 75,POINT(10.124554 53.482932),['Station']
Allermöher Kirche,POINT(10.129309 53.482169),['Station']
Allermöher Deich 187,POINT(10.140564 53.476068),['Station']
See Hinterm Horn,POINT(10.158484 53.474826),['Station']
Hans-Duncker-Straße (Nord),POINT(10.120316 53.493611),['Station']
Fockenweide,POINT(10.179022 53.490368),['Station']
Friedrich-Frank-Bogen (Mitte),POINT(10.1779 53.492284),['Station']
Friedrich-Frank-Bogen (Nord),POINT(10.179654 53.494127),['Station']
Billwerder Billdeich (Ost),POINT(10.179817 53.49621),['Station']
Bojeweg,POINT(10.174828 53.500545),['Station']
Bojendamm,POINT(10.170712 53.502662),['Station']
Boberger Furtweg,POINT(10.164033 53.506402),['Station']
Billwerder Billdeich 356,POINT(10.153596 53.502298),['Station']
Billwerder Billdeich 318,POINT(10.147495 53.501278),['Station']
Billbrookdeich (Ost),POINT(10.111259 53.531013),['Station']
Rotenbrückenweg,POINT(10.116733 53.530405),['Station']
Allermöher Deich 355,POINT(10.162518 53.472541),['Station']
Allermöher Deich 365,POINT(10.164835 53.472464),['Station']
S Nettelnburg,POINT(10.182632 53.488535),['Station']
Hans-Duncker-Straße (Mitte),POINT(10.115892 53.490975),['Station']
Wilhelm-Iwan-Ring,POINT(10.109533 53.490962),['Station']
Rungedamm (Mitte),POINT(10.110313 53.49888),['Station']
Werner-Witt-Straße (Süd),POINT(10.106547 53.493748),['Station']
Werner-Witt-Straße (Nord),POINT(10.112577 53.496721),['Station']
Billstieg (Kehre),POINT(10.109517 53.533581),['Station']
Hermann-Wüsthof-Ring (Ost),POINT(10.111206 53.493292),['Station']
S Allermöhe (Stellbrinkweg),POINT(10.159676 53.489812),['Station']
Von-Scheliha-Straße,POINT(10.162781 53.48546),['Station']
Wilhelm-Osterhold-Stieg,POINT(10.161587 53.483665),['Station']
Curt-Bär-Weg,POINT(10.158719 53.484016),['Station']
Herbert-Pardo-Weg,POINT(10.151796 53.484829),['Station']
Adolf-Köster-Damm,POINT(10.146946 53.485406),['Station']
Otto-Grot-Straße,POINT(10.147561 53.488671),['Station']
Karl-Rüther-Stieg,POINT(10.153344 53.489684),['Station']
Sophie-Schoop-Weg,POINT(10.163627 53.489396),['Station']
Margit-Zinke-Straße (Nord),POINT(10.166036 53.488797),['Station']
Auf der Bojewiese,POINT(10.177827 53.496724),['Station']
Berufsschulzentrum Bergedorf,POINT(10.182629 53.49168),['Station']
S Allermöhe,POINT(10.15873 53.490504),['Station']
Marie-Henning-Weg,POINT(10.154289 53.484536),['Station']
Unterer Landweg (Nord),POINT(10.110592 53.526275),['Station']
Bredowstraße (Ost),POINT(10.096671 53.519179),['Station']
S Billwerder-Moorfleet,POINT(10.095927 53.516625),['Station']
IKEA Moorfleet,POINT(10.09617 53.511456),['Station']
Billwerder Ring (Ost),POINT(10.121631 53.494354),['Station']
Hermann-Wüsthof-Ring (West),POINT(10.101669 53.497397),['Station']
Rungedamm (West),POINT(10.097535 53.497192),['Station']
Gewerbegebiet Moorfleet,POINT(10.090663 53.504821),['Station']
Porgesring,POINT(10.098074 53.521511),['Station']
Pinkertweg (Ost),POINT(10.104866 53.522383),['Station']
Felix-Jud-Ring (Mitte),POINT(10.15387 53.481305),['Station']
Michael-Pritzl-Weg,POINT(10.15686 53.481015),['Station']
Moorfleeter Deich 380,POINT(10.092298 53.492208),['Station']
Moorfleeter Deich 427,POINT(10.094922 53.487611),['Station']
Eichbaumsee,POINT(10.104712 53.487511),['Station']
Berliner Straße,POINT(10.725728 53.821156),['Station']
Wurzelredder,POINT(10.736823 53.815488),['Station']
Klein Grönau,POINT(10.748395 53.80823),['Station']
