name,description,tags,node_type,location,centroid
team.arbeit.hamburg - Job-Center Osdorf,,,['POI'],POINT(9.8502 53.587211),
team.arbeit.hamburg - Job-Center Rahlstedt,,,['POI'],POINT(10.182973 53.634826),
team.arbeit.hamburg - Job-Center St.Pauli,,,['POI'],POINT(9.961241 53.551417),
team.arbeit.hamburg - Job-Center Süderelbe,,,['POI'],POINT(9.85293 53.469349),
Anglo-English School,,,['POI'],POINT(9.992811 53.549047),
UNESCO-Institut für Lebenslanges Lernen,,,['POI'],POINT(9.99088 53.568435),
team.arbeit.hamburg - Job-Center Wandsbek,,,['POI'],POINT(10.099698 53.588806),
team.arbeit.hamburg - Job-Center Wilhelmsburg,,,['POI'],POINT(9.99687 53.499036),
team.arbeit.hamburg - Job-Center für Personen ohne festen Wohnsitz und Haftentlassene,,,['POI'],POINT(9.998605 53.548442),
team.arbeit.hamburg - Job-Center für schwerbehinderte Menschen,,,['POI'],POINT(9.949523 53.562445),
team.arbeit.hamburg - Zentrale,,,['POI'],POINT(10.000995 53.553822),
FH Hamburg,,,['POI'],POINT(10.022935 53.573835),
FHS für Architektur,,,['POI'],POINT(10.025633 53.605441),
FHS für Bauingenieurwesen,,,['POI'],POINT(10.025633 53.605441),
FHS für Bibliotekswesen,,,['POI'],POINT(9.984018 53.569355),
FHS für Bio-Ingenieurswesen,,,['POI'],POINT(10.198885 53.496425),
FHS für Chemie-Ingenieurswesen,,,['POI'],POINT(10.022302 53.555726),
FHS für Elektrotechnik,,,['POI'],POINT(10.020896 53.556843),
FHS für Ernährung,,,['POI'],POINT(10.198734 53.496381),
FHS für Fahrzeugtechnik,,,['POI'],POINT(10.021192 53.556625),
FHS für Gestaltung,,,['POI'],POINT(10.020421 53.565321),
FHS für Hauswirtschaft,,,['POI'],POINT(10.198688 53.496364),
FHS für Maschinenbau,,,['POI'],POINT(10.022302 53.555726),
FHS für Produktionstechnik,,,['POI'],POINT(10.198489 53.496258),
FHS für Schiffsbetriebstechnik,,,['POI'],POINT(10.017638 53.556287),
FHS für Seefahrt,,,['POI'],POINT(9.931215 53.54594),
FHS für Sozialpädagogik,,,['POI'],POINT(10.032665 53.592711),
FHS für Verfahrenstechnik,,,['POI'],POINT(10.198764 53.496408),
FHS für Vermessungswesen,,,['POI'],POINT(10.025633 53.605441),
Hochschule für Angewandte Wissenschaften Hamburg (HAW),,,['POI'],POINT(10.023088 53.557031),
Präsidialverwaltung,,,['POI'],POINT(10.022935 53.573835),
Studentensekretariat,,,['POI'],POINT(10.022997 53.57388),
Akademie JAK Modedesign,,,['POI'],POINT(10.029866 53.563964),
Der Behindertenbeauftragte der Universität Hamburg,,,['POI'],POINT(9.977139 53.569519),
Evangelische Hochschule für Soziale Arbeit & Diakonie,,,['POI'],POINT(10.06707 53.554966),
Führungsakademie,,,['POI'],POINT(9.830515 53.560654),
HFH Hamburger Fern-Hochschule,,,['POI'],POINT(10.054746 53.582418),
HafenCity Universität,,,['POI'],POINT(10.004921 53.540571),
Helmut-Schmidt-Universität - Universität der Bundeswehr,,,['POI'],POINT(10.106213 53.569392),
Hochschule für Bildende Künste,,,['POI'],POINT(10.029941 53.567674),
Hochschule für Musik,,,['POI'],POINT(9.999872 53.572098),
Hochschule für Musik und Theater,,,['POI'],POINT(9.998779 53.570544),
Hochschule für Politik,,,['POI'],POINT(9.984845 53.565295),
Hochschule für Wirtschaft,,,['POI'],POINT(9.98462 53.56536),
Hochschule für darstellende Kunst,,,['POI'],POINT(9.999872 53.572098),
Kunst- und Mediencampus Hamburg,,,['POI'],POINT(10.03296 53.568888),
Missionsakademie an der Universität Hamburg,,,['POI'],POINT(9.838284 53.556646),
Staats- und Universitätsbibliothek Hamburg -Bibliotheksauskunft-,,,['POI'],POINT(9.985641 53.566448),
Sternwarte Bergedorf der Uni Hamburg,,,['POI'],POINT(10.239206 53.479713),
Studentenwerk Hamburg / Amt für Ausbildungsförderung,,,['POI'],POINT(9.985641 53.566448),
Technische Universität Hamburg,,,['POI'],POINT(9.970099 53.463737),
Technische Universität Hamburg-Harburg,,,['POI'],POINT(9.969672 53.459526),
Uni Hamburg - Absolventenservice,,,['POI'],POINT(9.989541 53.565391),
Uni Hamburg - Akademisches Auslandsamt,,,['POI'],POINT(9.989089 53.573186),
Uni Hamburg - Behindertenbeauftragter,,,['POI'],POINT(9.99325 53.560068),
